State,2012,2014,Location
Alabama,1.7,1.3,"Alabama
(32.84057234800002, -86.63185738799996)"
Florida,2.1,1.7,"Florida
(28.932042722000062, -81.92895768899996)"
Georgia,1.4,0.7,"Georgia
(32.839683200000024, -83.62757885599996)"
Kentucky,1.5,1.4,"Kentucky
(37.64597313300004, -84.77496771599994)"
Mississippi,1.2,1.6,"Mississippi
(32.745513440000025, -89.53802722999995)"
North Carolina,1.4,1.2,"North Carolina
(35.466220159000045, -79.15924997399998)"
South Carolina,1.6,1.6,"South Carolina
(33.99882216300006, -81.04536596899999)"
Tennessee,1.1,1.1,"Tennessee
(35.68094072700006, -85.77448666899994)"
United States,1.9,1.7,"United States
(39.759995942000046, -98.49999896099996)"
